src_id,src_name,dst_id,dst_name,weight,length
1949,p9988,1878649,o462051:a,60.000003814697266,19.921001434326172
1878648,o462051:o,479103,FE_OFC52856_n368504:a,60.000003814697266,8601.1875
479102,FE_OFC52856_n368504:o,2105069,FE_OFC52860_n368504:a,60.000003814697266,18072.779296875
2105068,FE_OFC52860_n368504:o,1778239,FE_OFC52863_n368504:a,60.000003814697266,285.12750244140625
1778238,FE_OFC52863_n368504:o,1379611,FE_OFC52866_n368504:a,60.000003814697266,378.6102294921875
1379610,FE_OFC52866_n368504:o,946777,FE_OFC52869_n368504:a,60.000003814697266,329.10858154296875
946776,FE_OFC52869_n368504:o,2231417,FE_OFC52874_n368504:a,60.000003814697266,248.2244110107422
1139460,FE_OFC53467_n400970:o,972423,FE_OFC53468_n400970:a,59.494842529296875,475.6270751953125
1613161,FE_OFC53472_n400970:o,743974,A1_B1_C7_D8_E27_F1_G1_I2_o442443:i17,59.494842529296875,433.14556884765625
291898,FE_OFC53471_n400970:o,1613162,FE_OFC53472_n400970:a,59.494842529296875,442.00775146484375
